model_name,mean_val_balanced_accuracy,std_val_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_auc,std_test_auc
logreg,0.5541666666666667,0.08344899380999891,0.5798076923076924,0.1129193145787658,0.584,0.11187294380481615,0.6268268115326938,0.10900322405568323,0.6153846153846154,0.12898622455373135
random_forest,0.6291666666666667,0.10101720303315659,0.6125,0.1158037851527702,0.616,0.11654279137819813,0.6489242991697409,0.12059234502161979,0.676923076923077,0.15259312850844955
svm_rbf,0.6,0.12297746456210361,0.5801282051282051,0.07073908272327713,0.584,0.07105553383719589,0.6191937490903008,0.09082862093168093,0.6451923076923077,0.1033186498513952
