model_name,mean_val_accuracy,std_val_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_recall,std_test_recall,mean_test_precision,std_test_precision,mean_test_specificity,std_test_specificity,mean_test_auc,std_test_auc,mean_cv_score
random_forest,0.6041666666666667,0.08387978727590034,0.658,0.08847241615923367,0.6705027367268747,0.09216852761934405,0.676923076923077,0.11864489726685193,0.6727413313810373,0.08639792060711353,0.6375,0.1304372986874877,0.6903846153846154,0.08853289773750028,0.6748095238095237
svm_rbf,0.6208333333333333,0.0925791900631483,0.656,0.06668070027731923,0.6730047176326617,0.07376070779764475,0.6923076923076923,0.12725695259515557,0.6681730075480076,0.07258710416209653,0.6166666666666667,0.13355245153100534,0.7157051282051282,0.08494687755269031,0.701095238095238
xgboost,0.6395833333333333,0.07560066485366246,0.666,0.11408214953315556,0.6755042735042734,0.1066931816152902,0.6692307692307693,0.12251897824885312,0.6929694080429375,0.12656042111156232,0.6625,0.16551134658371078,0.7326923076923078,0.09471711137872806,0.6990952380952381
