feature_name,feature_group,f_score,p_value,adhd_mean,control_mean,mean_difference,abs_mean_difference
temporal_beta_rel_mean,region,9.998527708050036,0.001987938115111752,0.1178478597796646,0.08488026767023855,0.03296759210942604,0.03296759210942604
T8_delta_rel_mean,frequency_band,9.982679510563974,0.0020037693987730713,0.5373292559519937,0.6068707815380029,-0.06954152558600923,0.06954152558600923
parietal_std_mean,region,9.916938602393824,0.0020708385736120955,134.80703919267896,166.89342801555193,-32.086388822872976,32.086388822872976
F4_line_length_mean,time_domain,9.83651166754988,0.0021560451498560803,22582.05352332047,19831.765429579144,2750.2880937413247,2750.2880937413247
F4_zero_crossing_rate_mean,time_domain,9.77744878838967,0.0022209109583888635,0.12679191946799784,0.11440572919917029,0.012386190268827549,0.012386190268827549
O1_theta_beta_ratio_mean,band_ratio,9.732303179195375,0.00227184511513296,1.894381515033062,2.814447217783907,-0.9200657027508448,0.9200657027508448
P7_theta_beta_ratio_std,band_ratio,9.720913319317473,0.002284884410142876,0.8916048064199597,1.633879461343936,-0.7422746549239764,0.7422746549239764
C3_beta_rel_mean,frequency_band,9.71629505777973,0.0022901934105635405,0.07978441879726039,0.06250563028206715,0.01727878851519324,0.01727878851519324
P3_theta_alpha_ratio_mean,band_ratio,9.614852703299105,0.0024100690225995008,1.9915317697038284,2.582717891223719,-0.5911861215198906,0.5911861215198906
P7_hjorth_activity_mean,hjorth,9.549271111319328,0.0024909909759131942,18454.990688417107,45405.35564737103,-26950.36495895392,26950.36495895392
O1_kurtosis_mean,time_domain,9.54197089914479,0.002500170323875207,0.7238447331691975,1.2479788353999688,-0.5241341022307713,0.5241341022307713
T8_hjorth_complexity_mean,hjorth,9.467710266334624,0.0025955509611891277,2.704178634206101,3.08100611138543,-0.37682747717932896,0.37682747717932896
O1_ptp_mean,time_domain,9.372624596263094,0.0027231810392121026,930.6270261549133,1218.788365280359,-288.1613391254456,288.1613391254456
F3_hjorth_complexity_mean,hjorth,9.3618995125213,0.0027379773560867356,2.6228295993954798,2.93310428883502,-0.3102746894395403,0.3102746894395403
Cz_zero_crossing_rate_mean,time_domain,9.356020420547184,0.0027461232854340996,0.12388252856081802,0.11329519939407354,0.010587329166744486,0.010587329166744486
