feature_name,feature_group
C3_gamma_rel_std,frequency_band
C3_theta_beta_ratio_mean,band_ratio
C3_theta_beta_ratio_std,band_ratio
C3_theta_alpha_ratio_mean,band_ratio
C3_theta_alpha_ratio_std,band_ratio
C3_beta_alpha_ratio_mean,band_ratio
C3_beta_alpha_ratio_std,band_ratio
C3_psd_2hz_mean,psd_bin
C3_psd_2hz_std,psd_bin
C3_psd_4hz_mean,psd_bin
C3_psd_4hz_std,psd_bin
C3_psd_6hz_mean,psd_bin
C3_psd_6hz_std,psd_bin
C3_psd_8hz_mean,psd_bin
C3_psd_8hz_std,psd_bin
C3_psd_10hz_mean,psd_bin
C3_psd_10hz_std,psd_bin
C3_psd_12hz_mean,psd_bin
C3_psd_12hz_std,psd_bin
C3_psd_14hz_mean,psd_bin
C3_psd_14hz_std,psd_bin
C3_psd_16hz_mean,psd_bin
C3_psd_16hz_std,psd_bin
C3_psd_18hz_mean,psd_bin
C3_psd_18hz_std,psd_bin
C3_psd_20hz_mean,psd_bin
C3_psd_20hz_std,psd_bin
C3_psd_22hz_mean,psd_bin
C3_psd_22hz_std,psd_bin
C3_psd_24hz_mean,psd_bin
C3_psd_24hz_std,psd_bin
C3_psd_26hz_mean,psd_bin
C3_psd_26hz_std,psd_bin
C3_psd_28hz_mean,psd_bin
C3_psd_28hz_std,psd_bin
C3_psd_30hz_mean,psd_bin
C3_psd_30hz_std,psd_bin
C4_mean_mean,time_domain
C4_mean_std,time_domain
C4_std_mean,time_domain
C4_std_std,time_domain
C4_rms_mean,time_domain
C4_rms_std,time_domain
C4_ptp_mean,time_domain
C4_ptp_std,time_domain
C4_skew_mean,time_domain
C4_skew_std,time_domain
C4_kurtosis_mean,time_domain
C4_kurtosis_std,time_domain
C4_line_length_mean,time_domain
C4_line_length_std,time_domain
C4_zero_crossing_rate_mean,time_domain
C4_zero_crossing_rate_std,time_domain
C4_hjorth_activity_mean,hjorth
C4_hjorth_activity_std,hjorth
C4_hjorth_mobility_mean,hjorth
C4_hjorth_mobility_std,hjorth
C4_hjorth_complexity_mean,hjorth
C4_hjorth_complexity_std,hjorth
C4_delta_abs_mean,frequency_band
C4_delta_abs_std,frequency_band
C4_delta_rel_mean,frequency_band
C4_delta_rel_std,frequency_band
C4_theta_abs_mean,frequency_band
C4_theta_abs_std,frequency_band
C4_theta_rel_mean,frequency_band
C4_theta_rel_std,frequency_band
C4_alpha_abs_mean,frequency_band
C4_alpha_abs_std,frequency_band
